date,kg_CO2/kWh,Outdoor Drybulb Temperature [C],Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],Solar Generation [W/kW]
2022-08-01 00:00:00,0.170724413,20.0,84,0,0,0.0
2022-08-01 01:00:00,0.157319058,20.1,79,0,0,0.0
2022-08-01 02:00:00,0.15450256,19.7,78,0,0,0.0
2022-08-01 03:00:00,0.150944878,19.3,78,0,0,0.0
2022-08-01 04:00:00,0.151819864,18.9,78,0,0,0.0
2022-08-01 05:00:00,0.158088218,18.3,81,0,0,0.0
2022-08-01 06:00:00,0.161939362,18.3,81,25,100,5.608333333
2022-08-01 07:00:00,0.164345969,19.4,79,201,444,29.5
2022-08-01 08:00:00,0.190998153,21.1,73,420,592,96.75416667
2022-08-01 09:00:00,0.202898866,22.2,71,554,491,225.4541667
2022-08-01 10:00:00,0.212871689,21.7,73,778,734,366.8
2022-08-01 11:00:00,0.225709915,22.2,71,903,811,491.5958333
2022-08-01 12:00:00,0.234607893,22.8,68,964,815,578.8708333
2022-08-01 13:00:00,0.242860698,22.8,71,966,747,624.8458333
2022-08-01 14:00:00,0.242239252,22.2,73,683,291,631.1875
2022-08-01 15:00:00,0.242680302,22.8,71,522,153,600.2708333
2022-08-01 16:00:00,0.24524967,22.2,71,444,174,514.5125
2022-08-01 17:00:00,0.246146942,21.1,76,392,396,384.975
2022-08-01 18:00:00,0.242759399,20.6,78,231,320,210.1708333
2022-08-01 19:00:00,0.241509474,20.6,73,27,143,18.84166667
2022-08-01 20:00:00,0.243589092,20.0,76,0,0,0.0
2022-08-01 21:00:00,0.240739192,20.6,70,0,0,0.0
2022-08-01 22:00:00,0.22927038,20.6,73,0,0,0.0
2022-08-01 23:00:00,0.215294727,19.4,81,0,0,0.0
2022-08-02 00:00:00,0.191578861,20.0,81,0,0,0.0
2022-08-02 01:00:00,0.172713612,19.4,87,0,0,0.0
2022-08-02 02:00:00,0.16681729,19.4,87,0,0,0.0
2022-08-02 03:00:00,0.16352854,19.4,90,0,0,0.0
2022-08-02 04:00:00,0.162531227,18.9,90,0,0,0.0
2022-08-02 05:00:00,0.16735874,18.3,93,0,0,0.0
2022-08-02 06:00:00,0.170761497,18.9,90,15,14,5.7625
2022-08-02 07:00:00,0.183889502,20.0,87,116,42,29.44583333
2022-08-02 08:00:00,0.197804926,20.0,87,252,74,94.69583333
2022-08-02 09:00:00,0.210828767,20.0,84,292,35,221.7
2022-08-02 10:00:00,0.223376245,21.7,76,436,95,358.9458333
2022-08-02 11:00:00,0.239308678,21.7,73,604,209,480.3458333
2022-08-02 12:00:00,0.244769168,22.2,71,589,144,569.8333333
2022-08-02 13:00:00,0.243567636,21.0,78,554,133,613.0333333
2022-08-02 14:00:00,0.243300835,21.0,78,907,685,619.8375
2022-08-02 15:00:00,0.249160682,22.8,68,789,777,584.3083333
2022-08-02 16:00:00,0.250862788,22.8,67,631,703,508.3291667
2022-08-02 17:00:00,0.2472611,22.2,68,443,585,386.2583333
2022-08-02 18:00:00,0.236513843,23.3,79,245,337,215.4666667
